"current_iso3","country_name","iso2","iso3","iso_numeric"
"ATA","British Antarctic Territory","BQ"," ATB",80
"MMR","Burma","BU"," BUR",104
"BLR","Byelorussian SSR","BY"," BYS",112
"KIR","Canton and Enderbury Islands","CT"," CTE",128
,"Czechoslovakia","CS"," CSK",200
"BEN","Dahomey","DY"," DHY",204
"ATA","Dronning Maud Land","NQ"," ATN",216
"TLS","East Timor","TP"," TMP",626
"FRA","France, Metropolitan","FX"," FXX",249
"DJI","French Afar and Issas","AI"," AFI",262
"ATA","French Southern and Antarctic Territories","FQ"," ATF",260
"DEU","German Democratic Republic","DD"," DDR",278
,"Gilbert and Ellice Islands","GE"," GEL",296
"UMI","Johnston Island","JT"," JTN",396
"UMI","Midway Islands","MI"," MID",488
,"Netherlands Antilles","AN"," ANT",530
,"Neutral Zone","NT"," NTZ",536
"VUT","New Hebrides","NH"," NHB",548
,"Pacific Islands, Trust Territory of the","PC"," PCI",582
"PAN","Panama Canal Zone","PZ"," PCZ",594
,"Serbia and Montenegro","CS"," SCG",891
"IND","Sikkim","SK"," SKM",698
"ZWE","Southern Rhodesia","RH"," RHO",716
"BFA","Upper Volta","HV"," HVO",854
"UMI","U.S. Miscellaneous Pacific Islands","PU"," PUS",849
"RUS","USSR","SU"," SUN",810
"VNM","Viet-Nam, Democratic Republic of","VD"," VDR",704
"UMI","Wake Island","WK"," WAK",872
"YEM","Yemen, Democratic","YD"," YMD",720
,"Yugoslavia","YU"," YUG",891
"COD","Zaire","ZR"," ZAR",180
